cbo,wmc,dit
0,1,1
3,8,2
0,1,1
0,1,1
0,1,1
7,22,2
0,1,1
0,1,1
0,1,1
0,1,1
13,2,1
0,1,1
0,2,1
0,1,1
0,1,1
0,1,1
0,1,1
1,2,1
0,1,1
0,1,1
8,17,2
0,1,1
0,1,1
1,1,1
8,9,2
1,1,1
15,4,1
6,2,2
5,5,2
5,13,1
9,2,4
6,2,3
5,6,3
0,1,1
0,1,1
3,1,1
0,1,1
0,1,1
0,1,1
5,10,2
0,1,1
0,1,1
0,1,1
10,18,2
0,1,1
6,2,2
6,13,2
4,2,2
11,41,2
29,81,1
2,1,1
8,9,2
7,6,2
0,1,1
0,3,1
0,4,1
8,2,4
7,7,2
1,1,1
5,2,2
5,3,2
8,3,4
7,18,2
8,2,3
16,36,2
1,3,1
4,2,3
11,3,4
6,11,2
5,13,1
9,28,2
0,1,1
0,1,1
4,14,2
20,44,5
2,1,1
7,2,2
2,4,1
14,24,2
0,1,1
1,2,1
0,1,1
2,5,1
1,1,1
0,1,1
2,5,1
2,1,1
1,1,1
3,1,1
0,2,1
0,2,1
3,1,1
0,2,1
0,2,1
4,9,2
0,2,1
0,2,1
1,1,1
2,1,1
1,1,1
2,1,1
1,1,1
1,1,1
0,1,1
0,1,1
0,1,1
0,1,1
7,2,5
0,1,1
3,1,1
2,1,1
2,1,1
8,2,5
1,1,1
1,2,1
14,30,2
2,1,1
2,2,1
1,1,1
2,3,1
2,1,1
0,1,1
0,1,1
1,1,1
2,1,1
15,8,10
0,1,1
1,1,1
0,2,1
0,1,1
1,1,1
3,1,1
9,9,4
0,4,1
8,2,4
0,1,1
0,1,1
0,1,1
8,2,3
0,1,1
1,2,1
1,2,1
0,1,1
0,1,1
1,1,1
0,1,1
3,5,2
8,36,3
7,4,2
2,1,1
0,1,1
0,1,1
0,1,1
0,1,1
1,1,1
1,1,1
1,1,1
0,1,1
0,1,1
7,13,2
0,1,1
0,1,1
1,1,1
14,4,1
9,3,5
0,5,1
0,3,1
3,1,1
3,1,1
3,1,1
3,1,1
1,2,1
19,31,2
1,2,1
1,2,1
1,2,1
1,1,1
8,19,2
1,1,1
2,1,1
1,1,1
0,1,1
0,1,1
1,1,1
1,1,1
1,1,1
4,11,1
0,1,1
4,1,3
3,1,1
0,2,1
5,2,2
3,2,2
5,15,1
7,10,3
0,3,1
1,1,1
8,2,2
8,35,4
2,1,1
1,6,1
2,1,1
3,1,1
2,1,1
0,2,1
3,5,2
0,2,1
6,5,2
3,1,1
0,2,1
11,16,2
3,1,1
0,1,1
0,1,1
1,1,1
1,1,1
1,1,1
5,3,2
9,5,2
1,4,1
2,1,2
2,1,1
0,1,1
0,4,1
2,1,1
2,1,1
11,57,3
0,3,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
11,1,2
5,10,1
5,13,1
11,3,4
2,5,1
2,5,1
2,5,1
1,4,1
4,1,3
9,6,2
17,16,1
0,1,1
0,1,1
2,5,1
9,6,2
5,6,2
25,22,16
8,23,1
9,15,2
1,4,1
3,1,2
9,10,2
0,3,1
3,2,2
4,7,1
0,1,1
10,5,2
0,1,1
0,1,1
1,2,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
16,57,2
0,1,1
5,5,3
2,3,1
2,1,1
2,1,1
2,1,1
3,1,1
0,0,1
2,1,1
1,1,1
6,9,2
3,3,2
9,10,2
13,34,2
7,13,2
15,44,3
2,13,1
0,1,1
3,1,1
6,3,3
11,6,4
6,16,1
2,4,1
6,2,2
1,1,1
2,4,1
9,21,2
0,1,1
0,1,1
0,1,1
5,9,1
0,1,1
6,12,3
8,14,3
2,1,2
7,10,1
3,6,2
0,2,1
0,1,1
3,4,1
4,13,1
1,18,2
0,2,1
5,10,2
10,8,10
4,1,3
1,1,1
2,5,1
3,1,1
5,7,2
2,1,1
3,1,1
2,1,1
1,1,1
3,1,1
2,1,1
2,1,1
7,2,2
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
3,4,2
2,1,1
23,84,3
6,3,3
3,1,2
0,1,1
2,0,1
12,19,2
10,43,2
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,3,1
1,1,1
8,2,2
0,1,1
0,3,1
4,5,2
0,1,1
0,1,1
2,1,1
0,1,1
5,5,2
2,1,1
9,10,2
1,1,1
5,3,2
3,1,3
0,1,1
0,1,1
3,1,1
7,13,2
0,1,1
3,1,1
1,1,1
0,1,1
9,3,11
4,8,1
14,3,1
0,1,1
0,1,1
0,1,1
1,1,1
1,1,1
2,2,1
3,1,1
1,1,1
1,1,1
1,3,1
1,1,1
1,1,1
1,5,1
2,1,1
6,6,3
1,1,1
1,1,1
0,1,1
1,1,1
0,1,1
3,1,1
2,1,1
2,1,1
1,1,1
1,1,1
1,1,1
3,8,1
6,1,1
3,17,2
6,12,1
6,1,1
3,3,1
3,1,1
3,1,1
10,16,2
7,17,2
1,1,1
2,1,1
1,1,1
0,1,1
3,1,1
2,1,1
1,1,1
2,5,1
3,1,1
4,1,2
2,1,1
0,1,1
5,4,2
1,1,1
0,1,1
1,1,1
4,1,1
0,1,1
0,1,1
1,1,1
0,1,1
2,3,1
0,1,1
0,1,1
0,1,1
3,1,1
0,1,1
3,1,1
3,4,1
0,1,1
4,1,1
2,1,1
2,1,1
3,1,1
7,5,2
0,1,1
1,1,1
0,1,1
1,1,1
0,1,1
3,1,1
0,1,1
3,1,1
2,1,1
13,16,2
3,1,1
10,2,5
0,1,1
3,1,1
3,1,1
0,1,1
1,1,1
3,1,1
0,1,1
2,1,1
0,1,1
2,1,1
0,1,1
0,1,1
3,1,1
0,1,1
0,1,1
3,1,1
2,1,1
2,1,1
3,5,2
3,7,2
0,1,1
3,1,1
1,3,1
3,1,1
2,7,2
3,1,1
2,1,1
5,11,2
6,15,3
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
3,1,1
0,1,1
2,1,1
0,1,1
2,1,1
2,1,1
8,9,2
1,1,1
1,1,1
2,1,1
1,1,1
0,1,1
2,1,1
