cbo,wmc,dit
1,1,1
7,2,1
2,1,1
11,6,1
4,1,1
3,0,1
14,6,1
5,1,1
6,5,2
0,1,4
0,14,1
6,2,1
1,6,1
4,6,1
0,1,1
0,6,1
9,5,1
4.294117647,3.764705882,1.235294118
